Year,Month,CAISO,NWPP,ERCOT,MISO,SPP,PJM,NYPP,NEPOOL,CONUS,NWPP_Rolling_Avg,ERCOT_Rolling_Avg,MISO_Rolling_Avg,SPP_Rolling_Avg,PJM_Rolling_Avg,NYPP_Rolling_Avg,NEPOOL_Rolling_Avg,CONUS_Rolling_Avg,CAISO_Rolling_Avg,CAISO_pct_diff,NWPP_pct_diff,ERCOT_pct_diff,MISO_pct_diff,SPP_pct_diff,PJM_pct_diff,NYPP_pct_diff,NEPOOL_pct_diff,CONUS_pct_diff
1924.0,1.0,1.2,0.0,2.0,0.6000000000000001,0.0,0.6,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,
1924.0,2.0,1.0,0.0,26.3,3.3,0.9,0.0,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,
1960.0,1.0,1.1,0.0,8.8,2.8,0.7,0.0,0.0,0.0,0.4,0.0,2.0,0.6000000000000001,0.0,0.6,0.0,0.0,1.1,1.2,-8.333333333333323,,340.00000000000006,366.6666666666666,inf,-100.0,,,-63.63636363636363
1960.0,2.0,0.0,0.0,3.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,26.3,3.3,0.9,0.0,0.0,0.0,1.9,1.0,-100.0,,-87.83269961977187,-93.93939393939394,-55.55555555555556,,,,-100.0
1960.0,3.0,9.2,0.0,23.8,4.1000000000000005,1.0,0.1,0.0,0.0,9.9,,,,,,,,,,,,,,,,,,
1960.0,4.0,35.8,0.1,146.0,41.2,30.3,40.1,9.5,0.1,48.1,,,,,,,,,,,,,,,,,,
1960.0,5.0,61.1,4.2,291.6,78.6,93.4,33.1,26.8,5.5,87.9,,,,,,,,,,,,,,,,,,
1960.0,6.0,159.0,52.1,532.0,213.0,283.0,161.6,185.2,122.8,252.0,,,,,,,,,,,,,,,,,,
1960.0,7.0,262.0,230.7,605.1,311.2,387.3,246.6,282.3,196.5,349.5,,,,,,,,,,,,,,,,,,
1960.0,8.0,204.0,106.7,569.8,299.0,395.5,297.4,283.5,185.5,343.0,,,,,,,,,,,,,,,,,,
1960.0,9.0,214.9,32.7,415.9,193.9,226.6,128.8,93.5,52.1,195.6,,,,,,,,,,,,,,,,,,
1960.0,10.0,60.7,1.3,228.3,48.1,52.1,8.6,16.5,1.3,45.5,,,,,,,,,,,,,,,,,,
1960.0,11.0,0.8,0.0,50.8,6.1,3.1,0.0,0.0,0.0,4.1,,,,,,,,,,,,,,,,,,
1960.0,12.0,1.5,0.0,6.5,1.1,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,
1961.0,1.0,8.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,1.7,0.35,0.3,0.0,0.0,0.75,1.15,665.217391304348,,-98.14814814814815,-100.0,-100.0,-100.0,,,-100.0
1961.0,2.0,1.0,0.0,12.1,2.5,0.2,0.0,0.0,0.0,0.9,0.0,14.75,1.75,0.65,0.0,0.0,0.0,0.95,0.5,100.0,,-17.966101694915256,42.857142857142854,-69.23076923076923,,,,-5.263157894736835
1961.0,3.0,1.0,0.0,71.3,15.4,4.6,0.4,0.0,0.0,5.5,0.0,23.8,4.1000000000000005,1.0,0.1,0.0,0.0,9.9,9.2,-89.13043478260869,,199.57983193277312,275.60975609756093,359.99999999999994,300.00000000000006,,,-44.44444444444445
1961.0,4.0,24.5,0.2,125.7,21.8,38.1,6.8,0.2,0.0,29.3,0.1,146.0,41.2,30.3,40.1,9.5,0.1,48.1,35.8,-31.564245810055862,100.0,-13.904109589041095,-47.0873786407767,25.742574257425744,-83.04239401496261,-97.89473684210527,-100.0,-39.08523908523909
1961.0,5.0,9.3,9.8,320.4,74.5,89.7,23.4,12.6,14.6,68.1,4.2,291.6,78.6,93.4,33.1,26.8,5.5,87.9,61.1,-84.77905073649754,133.33333333333334,9.876543209876527,-5.216284987277347,-3.9614561027837287,-29.305135951661637,-52.98507462686567,165.45454545454547,-22.525597269624583
