Year,Month,CAISO,ERCOT,MISO,NEPOOL,NWPP,NYPP,PJM,SPP,CONUS,CAISO_RollingAvg,ERCOT_RollingAvg,MISO_RollingAvg,NEPOOL_RollingAvg,NWPP_RollingAvg,NYPP_RollingAvg,PJM_RollingAvg,SPP_RollingAvg,CONUS_RollingAvg
1924,1,1.2,2.0,0.6000000000000001,0.0,0.0,0.0,0.6,0.0,1.1,,,,,,,,,
1924,2,1.0,26.3,3.3,0.0,0.0,0.0,0.0,0.9,1.9000000000000001,,,,,,,,,
1960,1,1.1,8.8,2.8,0.0,0.0,0.0,0.0,0.7,0.4,1.2,2.0,0.6000000000000001,0.0,0.0,0.0,0.6,0.0,1.1
1960,2,0.0,3.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,1.0,26.3,3.3,0.0,0.0,0.0,0.0,0.9,1.9000000000000001
1960,3,9.2,23.8,4.1000000000000005,0.0,0.0,0.0,0.1,1.0,9.9,,,,,,,,,
1960,4,35.8,146.0,41.2,0.1,0.1,9.5,40.1,30.3,48.1,,,,,,,,,
1960,5,61.1,291.6,78.6,5.5,4.2,26.8,33.1,93.4,87.9,,,,,,,,,
1960,6,159.0,532.0,213.0,122.8,52.1,185.2,161.6,283.0,252.0,,,,,,,,,
1960,7,262.0,605.1,311.2,196.5,230.7,282.3,246.6,387.3,349.5,,,,,,,,,
1960,8,204.0,569.8,299.0,185.5,106.7,283.5,297.4,395.5,343.0,,,,,,,,,
1960,9,214.9,415.9,193.9,52.1,32.7,93.5,128.8,226.6,195.6,,,,,,,,,
1960,10,60.7,228.3,48.1,1.3,1.3,16.5,8.6,52.1,45.5,,,,,,,,,
1960,11,0.8,50.800000000000004,6.1,0.0,0.0,0.0,0.0,3.1,4.1,,,,,,,,,
1960,12,1.5,6.5,1.1,0.0,0.0,0.0,0.0,0.0,0.2,,,,,,,,,
1961,1,8.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,5.4,1.7,0.0,0.0,0.0,0.3,0.35,0.75
1961,2,1.0,12.1,2.5,0.0,0.0,0.0,0.0,0.2,0.9,0.5,14.75,1.75,0.0,0.0,0.0,0.0,0.65,0.9500000000000001
1961,3,1.0,71.3,15.4,0.0,0.0,0.0,0.4,4.6,5.5,9.2,23.8,4.1000000000000005,0.0,0.0,0.0,0.1,1.0,9.9
1961,4,24.5,125.7,21.8,0.0,0.2,0.2,6.8,38.1,29.3,35.8,146.0,41.2,0.1,0.1,9.5,40.1,30.3,48.1
1961,5,9.3,320.4,74.5,14.6,9.8,12.6,23.4,89.7,68.1,61.1,291.6,78.6,5.5,4.2,26.8,33.1,93.4,87.9
1961,6,142.4,438.8,198.4,102.6,120.5,173.0,155.6,250.5,238.5,159.0,532.0,213.0,122.8,52.1,185.2,161.6,283.0,252.0
1961,7,260.0,527.2,294.8,207.7,186.6,352.0,292.9,388.6,353.8,262.0,605.1,311.2,196.5,230.7,282.3,246.6,387.3,349.5
1961,8,250.2,514.7,279.6,194.3,211.29999999999998,315.1,260.7,360.1,326.3,204.0,569.8,299.0,185.5,106.7,283.5,297.4,395.5,343.0
1961,9,142.7,384.2,187.2,163.0,13.2,266.5,226.0,167.4,227.1,214.9,415.9,193.9,52.1,32.7,93.5,128.8,226.6,195.6
1961,10,91.8,154.1,32.7,7.5,1.8,34.0,8.4,31.1,46.3,60.7,228.3,48.1,1.3,1.3,16.5,8.6,52.1,45.5
1961,11,10.8,18.4,7.5,0.9,0.0,3.7,6.1,1.5999999999999999,6.3999999999999995,0.8,50.800000000000004,6.1,0.0,0.0,0.0,0.0,3.1,4.1
1961,12,0.0,8.3,3.1,0.0,0.0,0.0,0.0,0.2,0.8,1.5,6.5,1.1,0.0,0.0,0.0,0.0,0.0,0.2
1962,1,5.0,0.5,1.7,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,3.7000000000000006,3.6333333333333333,1.1333333333333333,0.0,0.0,0.0,0.19999999999999998,0.2333333333333333,0.5
1962,2,0.1,30.8,8.0,0.0,0.0,0.0,0.0,0.9,1.2000000000000002,0.6666666666666666,13.866666666666667,2.0,0.0,0.0,0.0,0.0,0.5,0.9333333333333335
1962,3,0.0,19.7,3.3,0.0,0.0,0.4,0.8,2.1999999999999997,1.8,5.1,47.55,9.75,0.0,0.0,0.0,0.25,2.8,7.7
1962,4,31.4,106.1,29.8,0.7,0.7000000000000001,14.1,25.4,22.6,47.9,30.15,135.85,31.5,0.05,0.15000000000000002,4.85,23.45,34.2,38.7
1962,5,25.6,328.5,172.9,27.6,2.2,85.9,138.5,225.0,144.0,35.2,306.0,76.55,10.05,7.0,19.7,28.25,91.55000000000001,78.0
1962,6,91.7,439.1,224.6,105.5,44.6,210.6,193.0,269.9,233.1,150.7,485.4,205.7,112.69999999999999,86.3,179.1,158.6,266.75,245.25
1962,7,155.8,594.1,289.2,131.4,124.8,252.6,215.6,425.3,303.3,261.0,566.1500000000001,303.0,202.1,208.64999999999998,317.15,269.75,387.95000000000005,351.65
1962,8,220.0,617.2,298.7,138.9,80.4,220.3,240.8,421.7,309.4,227.1,542.25,289.3,189.9,159.0,299.3,279.04999999999995,377.8,334.65
1962,9,132.3,403.7,134.4,36.4,27.1,66.7,72.9,156.4,151.0,178.8,400.04999999999995,190.55,107.55,22.950000000000003,180.0,177.4,197.0,211.35
1962,10,33.8,257.5,72.7,1.5,2.3,9.4,22.0,77.7,57.9,76.25,191.2,40.400000000000006,4.4,1.55,25.25,8.5,41.6,45.9
1962,11,6.4,16.8,1.1,0.0,0.0,0.0,0.0,0.4,8.3,5.800000000000001,34.6,6.8,0.45,0.0,1.85,3.05,2.35,5.25
1962,12,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.75,7.4,2.1,0.0,0.0,0.0,0.0,0.1,0.5
1963,1,0.7,1.6,0.3,0.0,0.0,0.0,0.0,0.2,0.0,4.025,2.85,1.275,0.0,0.0,0.0,0.15,0.175,0.525
1963,2,15.9,3.3,0.4,0.0,0.0,0.0,0.0,0.0,4.1,0.525,18.1,3.5,0.0,0.0,0.0,0.0,0.6000000000000001,1.0
1963,3,0.4,68.0,19.0,0.0,0.0,0.0,0.1,17.1,7.6,3.4,38.266666666666666,7.6000000000000005,0.0,0.0,0.13333333333333333,0.43333333333333335,2.5999999999999996,5.733333333333333
