state,county,pjm_primary_zone,holding_company,gas_primary_hub,gas_secondary_hub,pjm_secondary_zone,confidence,notes,gas_notes
DC,District of Columbia,PEPCO,Exelon,Transco Z5,Cove Pt,,high,,
DE,Kent,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
DE,New Castle,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
DE,Sussex,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
IL,Boone,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Bureau,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Carroll,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Champaign,COMED,Exelon,Chicago CG,NIPSCO,,medium,"Partial ComEd, rest is Ameren (MISO)",
IL,Cook,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,DeKalb,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,DuPage,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Ford,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Grundy,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Henry,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Iroquois,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Jo Daviess,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Kane,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Kankakee,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Kendall,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,LaSalle,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Lake,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Lee,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Livingston,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Marshall,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,McHenry,COMED,Exelon,Chicago CG,NIPSCO,,high,,
